Chr,SNP_data,methylation_data,last_meth_value_with_SNP_coverage,first_meth_value_with_SNP_coverage,last_meth_index_with_SNP_coverage,first_meth_index_with_SNP_coverage,subpopulation,brain_region,population,region,cov_file,cov_file2,cov_file3,cov_file4
1,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr1.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr1_EA.rda,248918358,1069461,2202702,8982,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
2,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr2.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr2_EA.rda,241863783,10001,2019984,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
3,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr3.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr3_EA.rda,198099789,11602,1538467,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
4,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr4.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr4_EA.rda,189877411,69399,1387731,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
5,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr5.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr5_EA.rda,181172584,44104,1409038,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
6,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr6.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr6_EA.rda,170619093,192453,1412543,1138,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
7,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr7.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr7_EA.rda,159334659,49742,1490198,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
8,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr8.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr8_EA.rda,145078546,196751,1225856,1483,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
9,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr9.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr9_EA.rda,136933101,164314,1064218,2159,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
10,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr10.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr10_EA.rda,133625493,45719,1288155,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
11,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr11.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr11_EA.rda,135075586,194509,1236846,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
12,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr12.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr12_EA.rda,133239922,77807,1222018,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
13,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr13.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr13_EA.rda,114353123,18702898,773488,6198,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
14,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr14.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr14_EA.rda,106883713,19991195,809631,1646,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
15,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr15.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr15_EA.rda,101892692,23433917,786237,11250,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
16,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr16.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr16_EA.rda,90100455,29324,1057285,465,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
17,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr17.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr17_EA.rda,83098547,193254,1119214,1513,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
18,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr18.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr18_EA.rda,80257169,83755,644498,386,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
19,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr19.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr19_EA.rda,58538684,271202,1007230,1,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
20,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr20.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr20_EA.rda,64296371,71317,705461,12,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
21,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr21.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr21_EA.rda,46682679,13391623,358983,11194,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
22,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr22.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/caud/out/chr22_EA.rda,50767586,16603949,543839,14844,EA,caud,EA,caud,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/EA_caud-no-dx.csv
1,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr1.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr1_AA.rda,248918358,1069461,2202702,8982,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
2,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr2.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr2_AA.rda,241863783,10001,2019984,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
3,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr3.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr3_AA.rda,198099789,11602,1538467,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
4,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr4.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr4_AA.rda,189877411,69399,1387731,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
5,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr5.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr5_AA.rda,181172584,44104,1409038,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
6,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr6.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr6_AA.rda,170619093,192453,1412543,1138,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
7,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr7.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr7_AA.rda,159334659,49742,1490198,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
8,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr8.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr8_AA.rda,145078546,196751,1225856,1483,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
9,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr9.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr9_AA.rda,136933101,164314,1064218,2159,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
10,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr10.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr10_AA.rda,133625493,45719,1288155,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
11,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr11.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr11_AA.rda,135075586,194509,1236846,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
12,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr12.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr12_AA.rda,133239922,77807,1222018,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
13,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr13.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr13_AA.rda,114353123,18702898,773488,6198,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
14,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr14.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr14_AA.rda,106883713,19991195,809631,1646,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
15,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr15.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr15_AA.rda,101892692,23433917,786237,11250,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
16,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr16.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr16_AA.rda,90100455,29324,1057285,465,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
17,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr17.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr17_AA.rda,83098547,193254,1119214,1513,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
18,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr18.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr18_AA.rda,80257169,83755,644498,386,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
19,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr19.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr19_AA.rda,58538684,271202,1007230,1,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
20,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr20.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr20_AA.rda,64296371,71317,705461,12,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
21,/expanse/lustre/projects/jhu152/naglemi/mwas/gwas//libd_chr21.pgen,/expanse/lustre/projects/jhu152/naglemi/mwas/pheno/dlpfc/out/chr21_AA.rda,46682679,13391623,358983,11194,AA,dlpfc,AA,dlpfc,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-meth-no-dx.csv,/expanse/lustre/projects/jhu152/naglemi/mwas/full_covariates_a2/AA_dlpfc-no-dx.csv
